time_shelter,animal_id,animal_type,breed,color,name,outcome_type,sex_upon_outcome,sex,Spay/Neuter,Periods,Cat/Kitten (outcome),dob_year,dob_month,outcome_month,domestic_breed,coat_pattern
1 year,A752255,Cat,domestic shorthair,cream/white,,Transfer,Neutered Male,Male,Yes,1,Cat,2016,6,6,True,
3 months,A749639,Cat,domestic shorthair,black,*Grim,Adoption,Neutered Male,Male,Yes,3,Kitten,2017,4,7,True,
1 year,A705164,Cat,domestic shorthair,orange,*Hutto,Adoption,Neutered Male,Male,Yes,1,Cat,2013,12,6,True,tabby
1 year,A753374,Cat,domestic shorthair,,*Ellie,Transfer,Spayed Female,Female,Yes,1,Cat,2016,7,8,True,agouti
6 months,A731902,Cat,domestic shorthair,white/brown,Olympia,Adoption,Spayed Female,Female,Yes,6,Cat,2016,4,11,True,tabby
1 weeks,A734141,Cat,siamese,seal,,Transfer,Intact Female,Female,No,1,Kitten,2016,8,9,False,point
2 months,A711453,Cat,domestic mediumhair,orange /white,,Transfer,Intact Male,Male,No,2,Kitten,2015,7,10,True,tabby
2 months,A750430,Cat,domestic mediumhair,blue/white,*Unicorn,Adoption,Spayed Female,Female,Yes,2,Kitten,2017,3,6,True,
3 days,A712468,Cat,domestic shorthair,brown /white,,Transfer,Unknown,Female,Yes,3,Kitten,2015,9,9,True,tabby
1 month,A706225,Cat,domestic longhair,white,,Transfer,Intact Male,Male,No,1,Kitten,2015,5,6,True,
1 year,A742525,Cat,domestic shorthair,,Kitty,Adoption,Spayed Female,Female,Yes,1,Cat,2016,1,1,True,calico
2 months,A713890,Cat,domestic shorthair,black/white,Pele,Adoption,Intact Male,Male,No,2,Kitten,2015,8,10,True,
2 years,A755317,Cat,domestic shorthair,brown /white,*Daisy,Adoption,Spayed Female,Female,Yes,2,Cat,2015,8,8,True,tabby
3 weeks,A711636,Cat,domestic shorthair,black,,Transfer,Intact Male,Male,No,3,Kitten,2015,8,9,True,
2 years,A761678,Cat,domestic shorthair,gray,Iris,Return to Owner,Spayed Female,Female,Yes,2,Cat,2015,11,11,True,tabby
5 months,A746623,Cat,domestic shorthair,brown,*Yoda,Adoption,Intact Male,Male,No,5,Kitten,2016,11,4,True,tabby
2 months,A705205,Cat,domestic shorthair,white/blue,*Dell,Adoption,Neutered Male,Male,Yes,2,Kitten,2015,3,6,True,tabby
1 year,A718320,Cat,domestic shorthair,brown,*Chardonnay,Adoption,Spayed Female,Female,Yes,1,Cat,2014,12,1,True,tabby
1 year,A700107,Cat,domestic shorthair,orange,Cheeseball,Adoption,Neutered Male,Male,Yes,1,Cat,2013,11,4,True,tabby
9 years,A717409,Cat,domestic mediumhair,black/white,*Emmy,Adoption,Spayed Female,Female,Yes,9,Cat,2006,12,12,True,
12 years,A729515,Cat,domestic shorthair,black/white,Oreo,Transfer,Neutered Male,Male,Yes,12,Cat,2004,6,6,True,
2 months,A707630,Cat,domestic shorthair,white/black,Herbert,Adoption,Intact Male,Male,No,2,Kitten,2015,5,7,True,
3 weeks,A711638,Cat,domestic shorthair,orange /,,Transfer,Intact Female,Female,No,3,Kitten,2015,8,9,True,tabby
1 weeks,A724995,Cat,domestic shorthair,brown /white,,Transfer,Intact Male,Male,No,1,Kitten,2016,4,4,True,tabby
10 years,A754056,Cat,domestic shorthair,white/red,*Alfredo,Adoption,Neutered Male,Male,Yes,10,Cat,2007,7,8,True,
4 years,A745897,Cat,domestic shorthair,black/white,Pepper,Adoption,Spayed Female,Female,Yes,4,Cat,2013,3,5,True,
1 year,A729574,Cat,domestic shorthair,white/brown,,Transfer,Intact Female,Female,No,1,Cat,2015,6,6,True,tabby
2 months,A760549,Cat,domestic shorthair,black/white,*Asher,Adoption,Neutered Male,Male,Yes,2,Kitten,2017,9,11,True,
2 months,A729550,Cat,domestic shorthair,blue,Finn,Adoption,Neutered Male,Male,Yes,2,Kitten,2016,5,8,True,tabby
4 months,A717722,Cat,siamese,lilac,George,Adoption,Neutered Male,Male,Yes,4,Kitten,2015,8,1,False,point
2 months,A738170,Cat,domestic shorthair,,Fuzzy Butt,Adoption,Spayed Female,Female,Yes,2,Kitten,2016,8,11,True,tortie
2 months,A708075,Cat,domestic shorthair,brown,Lovey,Adoption,Intact Female,Female,No,2,Kitten,2015,6,8,True,tabby
10 years,A698633,Cat,domestic longhair,black,Samson,Transfer,Neutered Male,Male,Yes,10,Cat,2005,3,4,True,
1 month,A703920,Cat,domestic shorthair,,Susuwatari,Adoption,Intact Female,Female,No,1,Kitten,2015,4,6,True,tortie
2 days,A724596,Cat,domestic shorthair,black,,Transfer,Intact Female,Female,No,2,Kitten,2016,4,4,True,
1 month,A729886,Cat,domestic shorthair,brown,*Noodles,Transfer,Neutered Male,Male,Yes,1,Kitten,2016,5,7,True,tabby
6 months,A740379,Cat,domestic shorthair,black,*Fish Sticks,Adoption,Spayed Female,Female,Yes,6,Cat,2016,6,12,True,tabby
1 month,A751500,Cat,domestic mediumhair,orange,*Jester,Transfer,Intact Male,Male,No,1,Kitten,2017,5,6,True,tabby
11 years,A730657,Cat,domestic shorthair,,Biscuit,Adoption,Spayed Female,Female,Yes,11,Cat,2005,7,7,True,tortie
2 months,A759465,Cat,domestic shorthair,black,,Adoption,Neutered Male,Male,Yes,2,Kitten,2017,8,11,True,
1 weeks,A757104,Cat,domestic shorthair,black,,Transfer,Intact Male,Male,No,1,Kitten,2017,8,8,True,
2 months,A736289,Cat,domestic shorthair,white/brown,,Adoption,Neutered Male,Male,Yes,2,Kitten,2016,8,10,True,tabby
8 months,A721188,Cat,domestic shorthair,brown,Tiger Lily,Adoption,Spayed Female,Female,Yes,8,Cat,2015,6,2,True,tabby
2 years,A756414,Cat,domestic shorthair,black,,Transfer,Unknown,Female,Yes,2,Cat,2015,8,8,True,
4 months,A713362,Cat,domestic shorthair,black/white,*Faloo,Adoption,Spayed Female,Female,Yes,4,Kitten,2015,6,10,True,
1 year,A724738,Cat,domestic shorthair,black/white,,Adoption,Spayed Female,Female,Yes,1,Cat,2015,4,6,True,
4 months,A753095,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,4,Kitten,2017,3,7,True,tabby
2 years,A721357,Cat,domestic shorthair,black/white,,Return to Owner,Neutered Male,Male,Yes,2,Cat,2014,2,2,True,
1 year,A717662,Cat,domestic shorthair,brown,,Transfer,Neutered Male,Male,Yes,1,Cat,2014,12,12,True,tabby
2 months,A716242,Cat,domestic shorthair,black,*Selleck,Adoption,Neutered Male,Male,Yes,2,Kitten,2015,9,11,True,
1 month,A726629,Cat,domestic shorthair,white/black,*Merrell,Transfer,Intact Male,Male,No,1,Kitten,2016,4,5,True,
4 months,A726571,Cat,domestic shorthair,,*Tanisha,Transfer,Spayed Female,Female,Yes,4,Kitten,2016,4,8,True,torbie
12 years,A728059,Cat,domestic shorthair,,Jesse,Adoption,Spayed Female,Female,Yes,12,Cat,2004,5,7,True,tortie
2 months,A758697,Cat,domestic shorthair,black,,Adoption,Spayed Female,Female,Yes,2,Kitten,2017,7,10,True,
4 years,A750588,Cat,cornish rex,seal,Maebe,Return to Owner,Spayed Female,Female,Yes,4,Cat,2013,4,5,False,point
8 years,A707673,Cat,domestic mediumhair,,Brunie,Transfer,Spayed Female,Female,Yes,8,Cat,2007,7,7,True,calico
3 months,A758936,Cat,domestic shorthair,black/black,*Splish,Adoption,Spayed Female,Female,Yes,3,Kitten,2017,6,10,True,
2 months,A734324,Cat,domestic shorthair,black/white,*Luke,Adoption,Neutered Male,Male,Yes,2,Kitten,2016,7,9,True,
4 weeks,A706694,Cat,domestic shorthair,brown /white,,Euthanasia,Unknown,Female,Yes,4,Kitten,2015,6,7,True,tabby
3 months,A702799,Cat,domestic shorthair,brown /white,,Adoption,Neutered Male,Male,Yes,3,Kitten,2015,5,9,True,tabby
4 weeks,A759269,Cat,domestic shorthair,gray,,Transfer,Unknown,Female,Yes,4,Kitten,2017,8,9,True,tabby
2 days,A730386,Cat,domestic shorthair,sable/white,,Transfer,Unknown,Female,Yes,2,Kitten,2016,7,7,True,
1 year,A726220,Cat,domestic shorthair,brown,*Avia,Adoption,Spayed Female,Female,Yes,1,Cat,2014,11,5,True,tabby
3 years,A706484,Cat,domestic shorthair,black,Fat Boy,Transfer,Neutered Male,Male,Yes,3,Cat,2012,6,7,True,
3 months,A740847,Cat,domestic shorthair,blue,,Transfer,Intact Male,Male,No,3,Kitten,2016,9,12,True,
3 months,A732236,Cat,domestic shorthair,orange /white,*Charlotte,Adoption,Spayed Female,Female,Yes,3,Kitten,2016,6,9,True,tabby
2 months,A703192,Cat,domestic shorthair,brown,Aj,Adoption,Spayed Female,Female,Yes,2,Kitten,2015,4,7,True,tabby
4 months,A759960,Cat,domestic mediumhair,brown,,Transfer,Intact Female,Female,No,4,Kitten,2017,6,10,True,tabby
2 weeks,A731996,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,2,Kitten,2016,7,7,True,tabby
4 weeks,A734422,Cat,domestic shorthair,brown,*Tandy,Transfer,Intact Female,Female,No,4,Kitten,2016,8,9,True,tabby
2 months,A763830,Cat,domestic shorthair,,,Adoption,Spayed Female,Female,Yes,2,Kitten,2017,10,12,True,tortie
1 year,A727731,Cat,domestic shorthair,/white,*Durantea,Adoption,Spayed Female,Female,Yes,1,Cat,2015,5,7,True,torbie
3 months,A726717,Cat,domestic shorthair,white/brown,*Dumpling,Adoption,Spayed Female,Female,Yes,3,Kitten,2016,4,7,True,
2 years,A744826,Cat,domestic shorthair,brown,Willow,Return to Owner,Neutered Male,Male,Yes,2,Cat,2015,3,3,True,tabby
6 years,A706538,Cat,domestic shorthair,orange,Baby,Adoption,Spayed Female,Female,Yes,6,Cat,2009,6,7,True,tabby
4 months,A757252,Cat,domestic mediumhair,black,*Ranger,Adoption,Neutered Male,Male,Yes,4,Kitten,2017,8,12,True,
3 weeks,A706091,Cat,domestic shorthair,brown /white,,Transfer,Unknown,Female,Yes,3,Kitten,2015,6,6,True,tabby
2 years,A761262,Cat,domestic mediumhair,,,Transfer,Intact Female,Female,No,2,Cat,2015,11,11,True,calico
3 months,A732208,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,3,Kitten,2016,5,8,True,tabby
2 years,A706201,Cat,siamese,seal,,Euthanasia,Intact Male,Male,No,2,Cat,2013,6,6,False,point
4 weeks,A704978,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,4,Kitten,2015,5,6,True,tabby
4 months,A741903,Cat,domestic shorthair,orange,*Edgard,Transfer,Intact Male,Male,No,4,Kitten,2016,9,1,True,tabby
2 months,A702736,Cat,domestic longhair,black/white,,Adoption,Neutered Male,Male,Yes,2,Kitten,2015,4,6,True,
2 years,A727155,Cat,domestic mediumhair,black,,Transfer,Spayed Female,Female,Yes,2,Cat,2014,5,5,True,
2 months,A727250,Cat,domestic shorthair,white/cream,*Markie,Adoption,Neutered Male,Male,Yes,2,Kitten,2016,4,6,True,
5 years,A748130,Cat,domestic shorthair,black,Flora,Adoption,Spayed Female,Female,Yes,5,Cat,2012,4,5,True,
3 weeks,A749940,Cat,domestic shorthair,orange /white,,Transfer,Intact Male,Male,No,3,Kitten,2017,4,5,True,tabby
1 month,A705980,Cat,domestic shorthair,blue,,Euthanasia,Intact Male,Male,No,1,Kitten,2015,4,6,True,tabby
3 months,A707978,Cat,domestic shorthair,blue,*Jenna,Transfer,Spayed Female,Female,Yes,3,Kitten,2015,6,10,True,tabby
2 weeks,A701707,Cat,domestic shorthair,orange,,Transfer,Intact Female,Female,No,2,Kitten,2015,4,5,True,tabby
3 years,A712971,Cat,domestic shorthair,/white,,Transfer,Intact Female,Female,No,3,Cat,2012,9,10,True,torbie
1 year,A750859,Cat,domestic shorthair,blue,,Transfer,Spayed Female,Female,Yes,1,Cat,2016,6,6,True,
3 months,A749923,Cat,domestic shorthair,orange,*Antonia,Adoption,Spayed Female,Female,Yes,3,Kitten,2017,4,7,True,tabby
2 months,A705525,Cat,domestic shorthair,black,,Adoption,Neutered Male,Male,Yes,2,Kitten,2015,4,6,True,
2 years,A716626,Cat,domestic shorthair,blue,,Transfer,Spayed Female,Female,Yes,2,Cat,2013,11,11,True,
4 weeks,A702909,Cat,domestic shorthair,blue,,Transfer,Intact Male,Male,No,4,Kitten,2015,4,5,True,tabby
5 days,A758805,Cat,domestic shorthair,black,,Transfer,Unknown,Female,Yes,5,Kitten,2017,9,9,True,
5 days,A748773,Cat,siamese,lynx,,Transfer,Unknown,Female,Yes,5,Kitten,2017,5,5,False,point
1 month,A747836,Cat,domestic shorthair,orange,,Transfer,Intact Male,Male,No,1,Kitten,2017,3,4,True,tabby
1 month,A702205,Cat,domestic shorthair,brown,Jax,Adoption,Neutered Male,Male,Yes,1,Kitten,2015,3,5,True,tabby
3 months,A757485,Cat,domestic shorthair,blue,,Adoption,Neutered Male,Male,Yes,3,Kitten,2017,5,9,True,tabby
1 year,A715546,Cat,domestic shorthair,,Nina,Transfer,Intact Female,Female,No,1,Cat,2014,11,11,True,calico
2 years,A749417,Cat,siamese,lynx,,Transfer,Spayed Female,Female,Yes,2,Cat,2015,5,5,False,point
2 months,A700361,Cat,domestic shorthair,brown,Persephone,Adoption,Spayed Female,Female,Yes,2,Kitten,2015,3,5,True,tabby
1 month,A704328,Cat,siamese,lynx,Noi-Na,Adoption,Intact Female,Female,No,1,Kitten,2015,4,6,False,point
1 month,A727090,Cat,domestic shorthair,brown,Molly,Adoption,Intact Female,Female,No,1,Kitten,2016,5,7,True,tabby
4 months,A729882,Cat,domestic shorthair,brown,,Adoption,Intact Female,Female,No,4,Kitten,2016,5,9,True,tabby
4 weeks,A749796,Cat,domestic shorthair,orange,,Transfer,Intact Female,Female,No,4,Kitten,2017,4,5,True,tabby
2 months,A744516,Cat,siamese,lynx,*Zelda,Adoption,Spayed Female,Female,Yes,2,Kitten,2017,2,4,False,point
13 years,A750202,Cat,domestic shorthair,brown,Amber,Adoption,Spayed Female,Female,Yes,13,Cat,2004,5,6,True,tabby
3 months,A749370,Cat,domestic mediumhair,,,Adoption,Spayed Female,Female,Yes,3,Kitten,2017,2,5,True,tortie
2 weeks,A733134,Cat,domestic shorthair,brown,,Transfer,Unknown,Female,Yes,2,Kitten,2016,8,8,True,tabby
2 months,A728656,Cat,domestic mediumhair,brown,,Adoption,Neutered Male,Male,Yes,2,Kitten,2016,3,6,True,tabby
3 weeks,A722484,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,3,Kitten,2016,2,3,True,torbie
1 weeks,A747025,Cat,domestic shorthair,black/white,,Transfer,Unknown,Female,Yes,1,Kitten,2017,4,4,True,
1 year,A744804,Cat,siamese,seal,*Otter,Transfer,Neutered Male,Male,Yes,1,Cat,2015,9,3,False,point
2 years,A728478,Cat,domestic shorthair,orange /white,,Adoption,Neutered Male,Male,Yes,2,Cat,2014,6,6,True,tabby
2 months,A747339,Cat,domestic shorthair,blue,,Adoption,Neutered Male,Male,Yes,2,Kitten,2017,4,7,True,tabby
2 years,A760331,Cat,american shorthair,,Toffie,Adoption,Spayed Female,Female,Yes,2,Cat,2015,8,10,False,torbie
1 month,A714053,Cat,domestic shorthair,/white,*Bree,Transfer,Intact Female,Female,No,1,Kitten,2015,9,10,True,calico
5 days,A749243,Cat,domestic shorthair,brown,,Transfer,Unknown,Female,Yes,5,Kitten,2017,5,5,True,tabby
2 months,A733561,Cat,domestic shorthair,brown,*Salsa,Adoption,Spayed Female,Female,Yes,2,Kitten,2016,7,10,True,tabby
3 weeks,A705679,Cat,domestic shorthair,blue,*Azure,Transfer,Intact Male,Male,No,3,Kitten,2015,5,6,True,
1 weeks,A746161,Cat,domestic mediumhair,brown /white,,Transfer,Intact Female,Female,No,1,Kitten,2017,3,3,True,tabby
2 months,A702772,Cat,domestic mediumhair,brown /white,*Velo,Transfer,Neutered Male,Male,Yes,2,Kitten,2015,3,5,True,tabby
2 years,A707015,Cat,domestic shorthair,brown /white,Boo Radley,Adoption,Neutered Male,Male,Yes,2,Cat,2013,7,7,True,tabby
8 months,A721314,Cat,domestic shorthair,black,Sam,Transfer,Spayed Female,Female,Yes,8,Cat,2015,6,3,True,
3 months,A759165,Cat,domestic mediumhair,black,Springer,Adoption,Neutered Male,Male,Yes,3,Kitten,2017,7,10,True,
7 months,A708514,Cat,domestic shorthair,black,*Tyra,Transfer,Spayed Female,Female,Yes,7,Cat,2015,2,10,True,
1 year,A713646,Cat,domestic shorthair,,Spit Fire,Transfer,Spayed Female,Female,Yes,1,Cat,2014,4,10,True,calico
5 years,A729757,Cat,domestic mediumhair,white,Mister Snow,Adoption,Neutered Male,Male,Yes,5,Cat,2011,6,7,True,
1 month,A753535,Cat,domestic shorthair,brown,*Mickey,Adoption,Neutered Male,Male,Yes,1,Kitten,2017,6,8,True,tabby
2 months,A728152,Cat,domestic mediumhair,brown,,Adoption,Spayed Female,Female,Yes,2,Kitten,2016,3,6,True,tabby
2 months,A744513,Cat,siamese,flame,*Scotty,Adoption,Neutered Male,Male,Yes,2,Kitten,2017,2,4,False,point
3 weeks,A712106,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,3,Kitten,2015,8,9,True,tortie
4 weeks,A749991,Cat,domestic shorthair,black,*Lasagna,Transfer,Intact Male,Male,No,4,Kitten,2017,4,5,True,
2 months,A726596,Cat,domestic shorthair,black,,Adoption,Spayed Female,Female,Yes,2,Kitten,2016,4,7,True,
5 years,A597417,Cat,domestic shorthair,black/white,Auggie,Return to Owner,Neutered Male,Male,Yes,5,Cat,2009,12,6,True,
10 years,A758917,Cat,domestic shorthair,,Boo,Return to Owner,Intact Female,Female,No,10,Cat,2007,9,9,True,tortie
2 months,A733940,Cat,domestic shorthair,black,,Adoption,Spayed Female,Female,Yes,2,Kitten,2016,7,9,True,
2 months,A763829,Cat,domestic shorthair,orange /white,French Fry,Adoption,Neutered Male,Male,Yes,2,Kitten,2017,10,12,True,tabby
2 months,A728242,Cat,domestic shorthair,white/brown,,Adoption,Spayed Female,Female,Yes,2,Kitten,2016,4,7,True,tabby
2 months,A706732,Cat,domestic shorthair,orange,,Adoption,Neutered Male,Male,Yes,2,Kitten,2015,4,7,True,tabby
2 months,A734660,Cat,domestic mediumhair,black/white,*Cameron,Transfer,Neutered Male,Male,Yes,2,Kitten,2016,6,9,True,
4 weeks,A752782,Cat,siamese,lynx,,Transfer,Intact Female,Female,No,4,Kitten,2017,5,6,False,point
4 years,A700105,Cat,domestic shorthair,black,Toothless,Adoption,Neutered Male,Male,Yes,4,Cat,2011,4,4,True,
10 years,A714662,Cat,domestic shorthair,,Xia,Transfer,Spayed Female,Female,Yes,10,Cat,2005,10,11,True,calico
1 year,A726035,Cat,domestic shorthair,gray,,Transfer,Spayed Female,Female,Yes,1,Cat,2015,5,5,True,tabby
1 year,A761360,Cat,domestic shorthair,black/white,,Euthanasia,Intact Female,Female,No,1,Cat,2016,11,11,True,
3 months,A713829,Cat,domestic shorthair,blue,George,Adoption,Intact Male,Male,No,3,Kitten,2015,9,12,True,
4 weeks,A711361,Cat,domestic shorthair,blue/white,,Transfer,Unknown,Female,Yes,4,Kitten,2015,8,9,True,
7 months,A748974,Cat,siamese,lynx,*Pirate,Transfer,Neutered Male,Male,Yes,7,Cat,2016,10,5,False,point
1 year,A748852,Cat,domestic mediumhair,,,Transfer,Spayed Female,Female,Yes,1,Cat,2016,5,5,True,torbie
6 months,A699982,Cat,domestic shorthair,silver,,Transfer,Unknown,Female,Yes,6,Cat,2014,10,4,True,tabby
2 years,A724431,Cat,domestic shorthair,orange /white,Brutus,Adoption,Neutered Male,Male,Yes,2,Cat,2014,4,12,True,tabby
4 months,A711850,Cat,domestic shorthair,orange,*Beethoven,Adoption,Neutered Male,Male,Yes,4,Kitten,2015,8,12,True,tabby
2 months,A714828,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,2,Kitten,2015,8,11,True,tortie
3 weeks,A737511,Cat,domestic shorthair,brown,,Transfer,Unknown,Female,Yes,3,Kitten,2016,10,10,True,tabby
3 months,A731901,Cat,domestic shorthair,blue/white,*Ladybug,Adoption,Spayed Female,Female,Yes,3,Kitten,2016,4,8,True,
3 weeks,A740255,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,3,Kitten,2016,11,12,True,tabby
5 years,A717748,Cat,domestic shorthair,blue cream/white,*Sugar,Transfer,Intact Female,Female,No,5,Cat,2010,12,12,True,
4 months,A730286,Cat,domestic shorthair,black,*Tad,Adoption,Neutered Male,Male,Yes,4,Kitten,2016,4,9,True,tabby
2 months,A700220,Cat,domestic shorthair,brown /white,*Dex,Adoption,Neutered Male,Male,Yes,2,Kitten,2015,4,6,True,tabby
1 weeks,A738529,Cat,domestic shorthair,,,Transfer,Unknown,Female,Yes,1,Kitten,2016,11,11,True,tortie
2 years,A711744,Cat,domestic shorthair,brown,,Transfer,Neutered Male,Male,Yes,2,Cat,2013,9,9,True,tabby
2 months,A747611,Cat,domestic shorthair,black,*Sushi,Adoption,Neutered Male,Male,Yes,2,Kitten,2017,3,6,True,
2 months,A753360,Cat,domestic shorthair,blue,,Adoption,Neutered Male,Male,Yes,2,Kitten,2017,5,7,True,
2 years,A714571,Cat,domestic longhair,blue/white,,Transfer,Unknown,Female,Yes,2,Cat,2013,10,10,True,
1 year,A734788,Cat,domestic longhair,black,Bagheera,Adoption,Neutered Male,Male,Yes,1,Cat,2016,6,10,True,
3 weeks,A703074,Cat,domestic shorthair,white/black,,Transfer,Intact Male,Male,No,3,Kitten,2015,4,5,True,
4 months,A711747,Cat,domestic shorthair,orange,,Adoption,Neutered Male,Male,Yes,4,Kitten,2015,5,9,True,tabby
11 months,A717837,Cat,domestic shorthair,orange /white,Mr. B,Transfer,Neutered Male,Male,Yes,11,Cat,2015,1,12,True,tabby
2 months,A731624,Cat,domestic shorthair,,*Sierra,Adoption,Spayed Female,Female,Yes,2,Kitten,2016,6,9,True,tortie
1 month,A705321,Cat,domestic shorthair,,*Jewel,Adoption,Spayed Female,Female,Yes,1,Kitten,2015,4,6,True,tortie
8 years,A702484,Cat,siamese,lynx,Little Bear,Adoption,Spayed Female,Female,Yes,8,Cat,2007,5,6,False,point
2 months,A739357,Cat,domestic shorthair,blue,,Transfer,Intact Male,Male,No,2,Kitten,2016,9,12,True,tabby
6 months,A752258,Cat,domestic shorthair,brown,Cleopatra,Adoption,Spayed Female,Female,Yes,6,Cat,2016,12,6,True,tabby
1 month,A736031,Cat,domestic shorthair,brown,*Max,Transfer,Intact Male,Male,No,1,Kitten,2016,8,10,True,tabby
3 weeks,A723664,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,3,Kitten,2016,3,4,True,tabby
2 months,A710364,Cat,domestic shorthair,blue,*Reuben,Adoption,Neutered Male,Male,Yes,2,Kitten,2015,6,8,True,tabby
4 months,A742445,Cat,domestic mediumhair,brown /white,Toast,Adoption,Neutered Male,Male,Yes,4,Kitten,2016,9,1,True,tabby
10 years,A758320,Cat,domestic shorthair,blue,Sophie,Adoption,Spayed Female,Female,Yes,10,Cat,2007,9,10,True,tabby
2 months,A711112,Cat,domestic shorthair,brown,*Malarkey,Adoption,Neutered Male,Male,Yes,2,Kitten,2015,8,10,True,tabby
13 years,A701161,Cat,domestic shorthair,brown,Annabelle,Euthanasia,Spayed Female,Female,Yes,13,Cat,2001,11,8,True,tabby
3 months,A741889,Cat,domestic longhair,black/white,Vanzetti,Adoption,Neutered Male,Male,Yes,3,Kitten,2016,10,1,True,
2 months,A753185,Cat,domestic shorthair,,Giselle,Adoption,Intact Female,Female,No,2,Kitten,2017,5,7,True,tortie
2 weeks,A733347,Cat,domestic shorthair,black,,Transfer,Unknown,Female,Yes,2,Kitten,2016,8,8,True,
1 week,A751660,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,1,Kitten,2017,6,6,True,tabby
2 weeks,A707728,Cat,domestic shorthair,black/white,,Transfer,Intact Male,Male,No,2,Kitten,2015,6,7,True,
2 years,A716813,Cat,domestic shorthair,black/orange,,Transfer,Intact Female,Female,No,2,Cat,2013,11,11,True,
1 week,A736852,Cat,domestic shorthair,orange,,Transfer,Unknown,Female,Yes,1,Kitten,2016,10,10,True,tabby
4 months,A754021,Cat,domestic shorthair,white,,Transfer,Intact Female,Female,No,4,Kitten,2017,3,7,True,
1 weeks,A731189,Cat,domestic shorthair,brown /black,,Transfer,Unknown,Female,Yes,1,Kitten,2016,7,7,True,tabby
5 months,A760903,Cat,domestic shorthair,black,*Donnie,Adoption,Neutered Male,Male,Yes,5,Kitten,2017,5,11,True,
5 months,A760724,Cat,snowshoe,seal,,Adoption,Neutered Male,Male,Yes,5,Kitten,2017,5,10,True,point
1 year,A751324,Cat,domestic shorthair,brown,Mahli,Return to Owner,Spayed Female,Female,Yes,1,Cat,2016,6,6,True,tabby
2 months,A726744,Cat,domestic shorthair,,*Brie,Adoption,Spayed Female,Female,Yes,2,Kitten,2016,4,7,True,calico
3 months,A703273,Cat,domestic shorthair,orange /white,*Brynden,Adoption,Neutered Male,Male,Yes,3,Kitten,2015,4,7,True,tabby
1 month,A737863,Cat,domestic longhair,black,*Puff,Transfer,Intact Male,Male,No,1,Kitten,2016,9,11,True,
2 months,A705744,Cat,domestic shorthair,blue,*Ryan,Transfer,Neutered Male,Male,Yes,2,Kitten,2015,4,6,True,
2 months,A707658,Cat,domestic shorthair,black/white,*Mint,Adoption,Spayed Female,Female,Yes,2,Kitten,2015,6,8,True,
5 years,A739419,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,5,Cat,2011,12,12,True,tortie
7 months,A733656,Cat,domestic shorthair,blue,*Roberta,Transfer,Spayed Female,Female,Yes,7,Cat,2016,1,9,True,
1 month,A711590,Cat,domestic shorthair,brown,*Reina,Transfer,Intact Female,Female,No,1,Kitten,2015,8,9,True,tabby
1 month,A751800,Cat,domestic shorthair,black,*Summer,Adoption,Spayed Female,Female,Yes,1,Kitten,2017,4,6,True,
1 month,A750533,Cat,domestic shorthair,blue/white,Maceo,Adoption,Neutered Male,Male,Yes,1,Kitten,2017,4,6,True,
1 year,A695073,Cat,domestic shorthair,black,*Tuna,Adoption,Spayed Female,Female,Yes,1,Cat,2014,1,10,True,
1 year,A735418,Cat,domestic shorthair,black,*Beata,Adoption,Spayed Female,Female,Yes,1,Cat,2015,9,1,True,
3 months,A710767,Cat,domestic shorthair,blue,,Transfer,Intact Female,Female,No,3,Kitten,2015,5,8,True,tabby
3 months,A738225,Cat,domestic shorthair,orange,*Hennie,Adoption,Spayed Female,Female,Yes,3,Kitten,2016,8,11,True,tabby
3 months,A712719,Cat,domestic shorthair,blue /white,,Transfer,Intact Male,Male,No,3,Kitten,2015,6,9,True,tabby
3 years,A721349,Cat,domestic shorthair,black,Oliver,Adoption,Neutered Male,Male,Yes,3,Cat,2013,2,6,True,
8 years,A709460,Cat,domestic shorthair,,Piper,Adoption,Spayed Female,Female,Yes,8,Cat,2007,8,9,True,tortie
2 months,A735899,Cat,domestic shorthair,black,Nas,Adoption,Neutered Male,Male,Yes,2,Kitten,2016,8,10,True,
1 month,A733427,Cat,domestic mediumhair,blue,Billy,Adoption,Neutered Male,Male,Yes,1,Kitten,2016,7,9,True,tabby
7 months,A733900,Cat,domestic mediumhair,orange /white,*Ferrari,Adoption,Spayed Female,Female,Yes,7,Cat,2016,1,9,True,tabby
7 years,A749454,Cat,domestic shorthair,white/black,Whiskey,Adoption,Neutered Male,Male,Yes,7,Cat,2010,5,6,True,
3 months,A751065,Cat,domestic shorthair,orange,*Zinn,Adoption,Neutered Male,Male,Yes,3,Kitten,2017,4,7,True,tabby
2 days,A753052,Cat,domestic shorthair,brown,,Transfer,Unknown,Female,Yes,2,Kitten,2017,6,7,True,tabby
